listing_id,brand,model,year,price_inr,predicted_fair_value,value_gap_pct,risk_score,DII,explanation,recommendation
DW-002803,MG,Astor,2022,799000,953081,-16.2,13.3,80.3,"low annual usage (5,800 km/yr); priced 16% below fair value (acquisition opportunity); low operational risk profile; high composite DII score (80.3/100)","STRONG_BUY - High profit potential, low capital risk"
DW-004794,Renault,Triber,2022,400000,515246,-22.4,8.4,79.5,priced 22% below fair value (acquisition opportunity); low operational risk profile; high composite DII score (79.5/100),"STRONG_BUY - High profit potential, low capital risk"
DW-003539,Maruti Suzuki,Baleno,2021,496000,514514,-3.6,1.1,79.3,"low annual usage (6,242 km/yr); low operational risk profile; high composite DII score (79.3/100)","STRONG_BUY - High profit potential, low capital risk"
DW-006183,Maruti Suzuki,Vitara Brezza,2020,578660,594218,-2.6,5.6,78.6,"low annual usage (6,460 km/yr); low operational risk profile; high composite DII score (78.6/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000484,Maruti Suzuki,Suzuki Ertiga,2017,685000,821730,-16.6,16.3,77.8,"aging vehicle (10 yrs old, higher depreciation); low annual usage (4,995 km/yr); priced 17% below fair value (acquisition opportunity); low operational risk profile; high composite DII score (77.8/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000783,MG,Gloster,2021,2190000,2433442,-10.0,34.5,77.6,"low annual usage (7,000 km/yr); priced 10% below fair value (acquisition opportunity); high composite DII score (77.6/100)","STRONG_BUY - High profit potential, low capital risk"
DW-004005,Skoda,Slavia,2022,890000,924032,-3.7,16.1,77.6,"low annual usage (7,000 km/yr); low operational risk profile; high composite DII score (77.6/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000669,Renault,Kiger,2022,595000,622842,-4.5,7.0,77.2,"low annual usage (6,000 km/yr); low operational risk profile; high composite DII score (77.2/100)","STRONG_BUY - High profit potential, low capital risk"
DW-006390,MG,Hector,2019,790000,864422,-8.6,31.5,77.2,"low annual usage (7,250 km/yr); high composite DII score (77.2/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000497,MG,Hector,2019,870000,785366,10.8,20.6,76.7,priced 11% above fair value (overpriced asking); low operational risk profile; high composite DII score (76.7/100),"ACCUMULATE - Attractive margin, verify reconditioning scope"
DW-004122,Jeep,Compass,2017,745000,775423,-3.9,14.1,76.6,"aging vehicle (10 yrs old, higher depreciation); low operational risk profile; high composite DII score (76.6/100)","STRONG_BUY - High profit potential, low capital risk"
DW-000994,Volkswagen,Taigun,2022,1090000,1158752,-5.9,2.1,76.5,low operational risk profile; high composite DII score (76.5/100),"STRONG_BUY - High profit potential, low capital risk"
DW-002733,Ford,Ecosport,2017,389579,431669,-9.8,5.5,76.4,"aging vehicle (10 yrs old, higher depreciation); low operational risk profile; high composite DII score (76.4/100)","STRONG_BUY - High profit potential, low capital risk"
DW-007797,MG,Hector,2022,1058343,1229106,-13.9,18.9,76.3,"low annual usage (5,442 km/yr); priced 14% below fair value (acquisition opportunity); low operational risk profile; high composite DII score (76.3/100)","STRONG_BUY - High profit potential, low capital risk"
